slice,38_SS,90_DD,96_DS,70_SD,86_DS,95_DS,25_SD,83_DD,94_DD,39_SS,35_SS
190,179.393,191.852,181.054,172.051,142.317,186.712,186.666,172.638,178.016,163.954,194.626
191,179.589,191.772,182.118,172.268,142.475,186.344,186.874,172.446,178.614,163.989,194.388
192,179.723,191.408,182.431,172.848,142.719,185.388,186.729,172.681,178.881,164.036,194.336
193,179.648,190.734,182.041,173.895,142.806,184.689,186.525,172.99,179.048,164.303,194.191
194,179.451,190.706,181.95,174.53,142.767,184.218,186.34,173.46,179.272,164.595,193.899
195,179.337,190.777,181.667,175.486,143.108,183.659,186.127,173.925,179.042,165.015,193.626
196,179.351,190.7,180.983,176.458,143.718,183.378,186.105,174.389,178.737,165.488,193.325
197,179.348,190.145,180.15,176.697,144.345,182.768,186.138,174.774,178.558,165.57,192.868
198,179.368,190.242,179.111,177.048,145.096,182.024,186.045,175.042,178.106,165.704,192.434
199,179.459,190.381,178.501,177.229,145.642,181.835,185.876,175.613,177.488,166.055,192.112
200,179.398,190.502,178.329,177.213,146.14,181.8,185.756,175.71,177.023,166.522,191.761
201,179.327,190.463,178.569,177.42,146.396,181.692,185.577,175.388,176.578,166.725,191.672
202,179.088,189.86,178.814,178.039,146.475,181.523,185.169,175.053,176.553,167.038,191.6
203,178.968,189.527,179.224,178.996,146.361,181.418,184.58,174.63,176.658,167.381,191.554
204,178.761,189.36,179.747,180.221,146.544,181.352,183.81,173.958,176.766,167.985,191.491
205,178.491,189.354,179.477,181.355,146.989,181.312,183.067,173.346,177.059,168.645,191.337
206,178.052,189.135,178.699,181.96,147.459,181.481,182.502,172.757,177.4,169.35,191.336
207,177.722,189.437,177.937,182.926,148.044,181.789,182.065,172.306,177.937,170.234,191.185
208,177.499,189.818,176.991,183.425,148.712,182.01,181.624,172.142,178.462,170.954,191.237
209,177.336,190.338,176.784,183.887,149.418,181.892,181.272,172.253,179.126,171.733,191.037
210,177.264,191.627,176.207,184.238,149.602,181.762,180.973,172.663,179.489,172.211,190.753
211,177.352,193.37,175.662,184.493,149.44,181.748,180.967,172.888,179.512,172.34,190.681
212,177.241,194.857,174.881,184.586,149.41,181.38,181.12,172.255,179.278,172.223,190.67
213,177.002,196.306,174.712,184.676,149.457,180.578,181.388,172.216,179.124,172.152,190.604
214,176.649,197.365,174.269,184.809,149.413,179.507,181.576,172.166,178.76,172.108,190.133
215,176.416,198.109,173.212,185.296,149.644,178.681,181.436,171.799,178.491,171.976,189.659
216,176.402,198.495,172.575,185.638,149.698,178.366,181.182,171.309,178.07,172.056,189.438
217,176.515,199.062,172.496,186.166,149.768,178.127,180.993,170.599,177.841,172.214,189.003
218,176.477,199.649,173.146,186.545,149.987,177.595,180.63,170.013,177.766,172.363,188.8
219,176.341,199.658,173.892,187.011,150,176.996,180.157,169.32,177.572,172.669,188.614
220,176.095,199.2,175.196,187.62,149.827,176.806,179.476,168.726,177.362,173.221,188.222
221,175.786,198.672,176.692,188.069,149.563,176.458,178.855,168.242,176.864,173.836,187.87
222,175.541,198.42,177.622,188.159,149.233,176.18,178.51,167.974,176.445,174.555,187.408
223,175.326,198.885,178.261,188.661,148.757,175.813,178.572,167.567,176.031,174.942,186.722
224,174.987,199.446,178.118,188.823,148.518,175.725,178.355,167.389,175.974,175.183,186.276
225,174.661,200.207,177.661,189.407,148.668,175.638,178.18,167.207,175.857,175.319,185.973
226,174.367,200.929,176.694,190.088,149.009,175.617,177.982,166.931,175.738,175.274,185.638
227,173.998,201.473,176.054,190.787,149.222,175.728,177.952,166.941,175.952,175.019,185.564
228,173.725,201.774,176.066,191.795,149.19,175.862,178.286,166.865,176.445,174.64,185.708
229,173.683,201.748,176.274,192.093,149.21,176.044,178.896,166.929,176.478,174.711,185.601
230,173.558,201.668,176.197,192.619,149.049,176.18,179.311,167.056,176.367,174.927,185.27
231,173.541,201.676,176.442,193.183,148.726,175.604,179.698,167.066,176.385,175.333,184.566
232,173.429,201.387,177.087,193.051,148.862,175.275,180.008,167.019,176.533,175.485,183.766
233,173.322,200.6,177.427,192.342,149.218,174.989,180.217,166.791,176.592,175.709,183.209
234,172.921,199.984,177.795,192.067,149.746,174.933,180.429,166.8,176.289,176.522,182.665
235,172.466,199.674,177.86,192.203,150.484,174.859,180.553,166.654,175.679,177.043,182.382
236,171.917,199.288,178.166,192.449,151.223,174.717,180.546,166.264,175.006,177.663,182.264
237,171.35,198.821,178.123,192.942,151.595,174.673,180.508,166.315,174.223,178.013,182.159
238,170.772,198.724,177.642,193.156,151.751,174.468,180.51,166.421,173.431,178.377,182.221
239,170.284,199.27,176.896,192.989,151.484,174.197,180.464,166.495,172.971,178.596,182.353
240,169.835,200.061,175.607,192.644,151.063,173.955,180.354,166.262,172.687,178.52,182.707
241,169.781,200.733,174.737,192.487,150.78,173.609,179.901,166.154,172.543,178.293,183.132
242,169.454,201.416,174.651,192.644,150.337,172.98,179.368,166.387,172.639,178.261,183.473
243,169.062,201.457,175.392,193.373,149.909,172.656,178.614,166.508,172.652,178.498,183.685
244,168.796,201.349,176.366,194.344,149.692,172.275,178.015,166.677,172.698,178.658,183.778
245,168.782,200.913,177.392,195.158,149.663,172.05,177.75,167.031,172.966,179.227,183.709
246,169.006,201.133,177.675,195.812,149.808,171.893,177.361,167.191,173.314,179.736,183.559
247,168.975,201.084,177.687,196.017,149.777,171.894,177.093,167.215,173.567,180.212,183.458
248,168.852,200.688,178.015,195.619,149.483,172.247,176.85,166.865,173.694,180.653,183.35
249,168.677,200.361,177.953,195.246,149.216,172.502,176.643,166.714,173.882,180.801,183.195
250,168.552,200.341,177.815,195.046,148.795,172.6,176.269,166.743,174.247,180.789,182.894
251,168.233,200.544,177.592,195.199,148.643,172.846,176.101,167.041,174.266,180.692,182.589
252,167.658,200.477,177.324,195.332,148.873,173.4,175.995,167.117,174.355,180.807,182.512
253,167.05,199.304,176.756,195.302,149.628,173.693,176.08,166.755,174.17,180.911,182.763
254,166.821,198.419,176.132,195.536,150.221,173.839,176.238,166.531,173.901,180.901,183.036
255,166.438,197.29,175.659,196.146,150.777,173.948,176.29,166.587,173.157,180.678,183.039
256,165.882,196.693,175.177,196.438,150.892,174.016,176.355,166.439,172.346,180.564,183.096
257,165.277,196.88,174.108,196.757,151.133,174.111,176.475,166.445,171.64,180.299,183.223
258,164.595,196.704,172.736,196.674,150.977,174.455,176.544,166.999,171.21,180.199,183.199
259,164.113,196.422,171.628,196.851,150.736,174.854,176.614,167.355,171.207,180.346,183.246
260,164.307,195.748,171.032,196.466,150.605,175.14,176.528,167.883,171.592,180.712,183.316
261,164.311,194.971,170.744,196.185,150.386,175.364,176.348,168.784,172.27,180.779,183.117
262,164.406,194.512,170.532,196.505,150.335,175.687,176.298,169.616,173.034,180.55,182.994
263,164.555,193.534,171.179,196.342,149.996,176.027,175.991,169.979,173.655,180.523,182.969
264,164.567,192.91,172.202,196.422,149.42,175.897,175.572,170.255,173.888,180.409,183.227
265,164.644,192.632,172.737,196.364,148.955,175.935,175.279,170.396,173.91,180.179,183.667
266,165.01,192.048,173.13,196.179,148.801,175.813,175.032,171.037,173.724,179.778,184.006
267,164.989,191.425,173.255,195.993,148.61,176.063,174.902,171.589,173.622,179.751,184.284
268,165.129,189.798,173.201,195.726,148.218,176.392,174.559,172.249,173.606,179.548,184.412
269,163.859,188.153,172.588,195.085,148.228,176.842,174.336,172.631,173.285,179.296,184.406
270,163.295,186.449,172.082,194.465,148.422,177.711,174.153,173.393,172.66,178.821,184.307
271,162.516,185.372,171.344,194.144,148.719,178.555,173.943,173.894,172.312,178.448,184.176
272,162.153,184.83,170.849,193.472,149.66,179.178,174.069,174.041,172.115,178.398,184.033
273,161.915,184.551,170.584,191.982,150.462,179.369,174.318,174.217,171.96,178.076,184.059
274,161.933,184.428,170.209,191.417,151.014,179.595,174.308,174.376,171.625,177.656,184.182
275,162.319,183.961,169.869,191.078,151.607,180.013,174.136,174.269,171.222,176.93,184.348
276,163.489,184.391,169.604,190.889,151.858,180.368,174.076,174.035,170.899,176.531,184.527
277,165.214,185.516,169.101,190.501,151.004,180.702,174.338,174.009,170.546,176.513,184.617
278,166.556,186.263,168.629,190.161,150.104,180.687,174.542,173.855,170.182,176.812,184.725
279,166.914,186.629,168.473,189.993,149.381,180.523,174.617,173.385,169.91,177.19,184.828
280,164.631,186.957,167.753,190.27,148.692,180.449,174.846,172.201,169.742,177.442,185.009
281,160.762,187.147,167.222,190.477,148.04,180.692,174.966,171.551,169.862,177.687,185.321
