slice,40_SD,63_SS,48_SD,30_DD,27_DD,271_DD,61_SS,50_DS,29_DD,52_DS,521_DS,46_SD,461_SD,651_SS,65_SS,541_DS,54_DS
159,175.795,170.597,161.495,150.584,166.331,153.203,168.884,135.507,164.807,156.911,173.107,152.979,151.333,184.664,180.763,166.364,159.299
160,175.916,171.291,161.073,150.456,166.615,153.326,168.659,135.812,165.201,156.606,172.047,153.032,152.211,184.699,181.131,165.864,159.287
161,176.092,171.816,161.032,150.694,167.199,153.364,168.558,136.196,165.677,156.538,171.303,152.983,153.164,184.847,181.183,164.904,159.145
162,176.116,172.749,161.255,150.768,167.431,153.419,168.409,136.438,166.124,156.185,170.627,152.921,153.713,185.013,181.242,163.828,159.076
163,176.027,173.953,161.439,150.703,167.786,153.865,168.098,136.72,166.552,156.031,170.215,152.354,154.239,185.116,181.466,163.077,159.312
164,175.673,174.411,161.683,150.293,167.966,154.406,167.942,137.044,167.136,156.005,169.681,152.001,154.724,185.233,181.967,162.231,159.531
165,175.709,174.849,161.781,150.166,168.325,154.896,167.87,137.228,167.973,155.854,169.162,151.722,155.242,185.288,182.354,161.33,159.533
166,176.06,174.719,161.853,150.117,168.656,155.232,168.014,137.452,168.572,156.118,168.744,151.316,155.539,185.631,182.855,160.82,159.458
167,176.554,174.6,161.953,150.046,168.856,155.243,168.213,137.579,169.147,156.615,168.41,151.037,155.765,185.61,183.285,160.571,159.424
168,176.574,174.601,162.06,150.158,169.064,155.28,168.434,137.618,169.311,156.505,168.28,151.016,155.894,185.748,183.781,160.887,159.383
169,176.666,174.286,162.522,150.614,169.1,155.474,169.027,137.69,169.127,156.182,168.534,151.329,155.979,186.132,183.983,161.268,159.102
170,176.711,174.484,163.225,150.889,168.987,155.46,169.446,137.705,168.694,155.933,168.891,152.32,156.159,186.915,183.963,161.556,159.015
171,177,174.508,163.881,150.885,168.946,155.765,169.758,137.989,168.552,155.687,169.247,153.153,156.254,187.402,184.401,161.831,158.471
172,177.054,174.836,164.484,150.954,168.97,156.302,170.07,138.488,168.891,155.807,169.326,154.018,156.316,187.351,184.847,161.895,158.085
173,177.509,175.854,165.085,151.405,169.155,156.865,170.453,138.834,168.937,155.787,169.088,154.989,156.785,187.354,184.865,162.182,157.714
174,178.107,176.689,165.565,151.814,168.963,156.924,170.895,139.207,169.044,155.765,168.872,155.787,157.006,187.195,184.873,162.915,157.144
175,178.911,177.219,165.858,152.044,168.648,156.559,171.148,139.524,168.922,155.845,168.357,156.236,156.662,186.971,184.918,163.24,156.767
176,179.461,177.6,165.968,152.22,168.387,156.278,171.37,139.835,168.698,155.878,168.061,156.258,156.359,186.755,184.663,163.611,156.512
177,179.822,178.613,166.133,152.564,168.645,156.006,171.14,140.233,168.611,156.008,167.744,156.336,155.672,186.902,184.313,163.19,156.129
178,180.598,179.821,166.2,152.772,168.937,155.795,171.098,140.828,168.752,156.289,167.495,156.323,155.387,187.409,184.189,162.654,156.179
179,181.094,180.768,166.534,153.059,169.271,155.798,170.928,141.306,169.103,156.652,167.19,156.468,155.097,187.836,184.74,161.957,156.258
180,181.566,180.995,166.649,153.481,169.37,155.669,170.879,141.487,169.847,156.815,167.128,156.523,155.156,188.577,185.555,161.111,156.554
181,181.449,181.175,166.83,153.773,169.565,155.012,170.69,141.652,170.739,156.933,167.317,156.195,155.38,189.726,185.885,159.716,157.045
182,181.226,181.383,167.142,154.217,169.66,154.677,170.334,141.773,171.796,157.116,167.397,155.585,155.603,190.533,186.053,158.422,157.474
183,180.884,181.923,167.25,154.501,169.785,155.005,170.192,141.871,172.908,157.711,167.545,154.802,155.887,190.894,185.895,157.44,157.824
184,180.338,182.594,167.198,154.786,169.855,155.085,170.209,141.903,173.563,158.584,167.727,153.727,156.358,191.246,185.891,156.941,158.06
185,180.474,183.707,166.94,154.849,170.33,155.683,170.353,141.83,174.001,159.276,167.814,153.022,156.511,191.23,186.193,156.687,158.411
186,181.103,184.698,166.439,154.571,170.797,155.92,170.595,141.712,174.71,159.797,167.58,152.65,156.466,190.93,186.274,156.142,158.346
187,181.99,185.724,166.197,154.027,171.124,156.029,170.864,141.694,175.488,160.302,167.592,153.16,156.386,190.6,186.299,156.096,158.344
188,182.462,186.439,165.906,153.547,170.62,156.323,171.276,141.524,175.604,160.42,167.679,153.25,156.202,189.638,186.415,156.049,158.37
189,182.639,186.902,165.642,153.106,169.595,156.732,171.821,141.597,176.121,160.167,167.723,153.486,156.494,189.052,186.598,156.003,158.035
190,182.665,187.815,165.928,152.453,168.598,156.431,172.417,141.816,176.1,159.772,167.802,153.995,156.676,188.083,186.576,155.867,157.616
191,182.368,188.76,166.294,151.851,167.917,156.011,173.15,141.958,175.906,159.198,167.541,154.368,156.959,187.482,187.076,155.302,156.959
192,182.173,189.205,166.633,151.364,167.127,155.418,173.763,142.065,175.599,159.332,167.089,154.666,157.322,187.365,187.214,154.764,156.402
193,182.045,189.627,167.22,151.084,166.185,154.743,174.479,142.004,174.887,159.69,166.929,155.247,157.854,187.247,187.47,154.441,156.021
