slice,38_SS.1,90_DD.1,96_DS.1,70_SD.1,86_DS.1,95_DS.1,25_SD.1,83_DD.1,94_DD.1,39_SS.1,35_SS.1,40_SD,63_SS,63b_SS,48_SD,30_DD,27_DD,27b_DD,61_SS,50_DS,29_DD,52_DS,52b_DS,46_SD,46b_SD,65_SS,65b_SS,54_DS,54b_DS
62,171.22,182.512,182.287,149.691,165.329,192.116,155.677,164.657,170.963,138.579,192.206,169.621,168.1,160.76,152.527,159.201,199.595,166.886,170.076,156.21,167.917,180.19,187.081,131.193,134.315,171.851,163.387,177.889,171.18
63,172.183,182.656,182.569,150.148,165.511,191.95,155.479,165.237,171.136,139.24,192.713,169.494,168.179,160.011,152.677,160.463,199.842,166.651,170.291,156.462,167.415,181.358,187.714,131.535,135.206,172.02,162.522,178.283,171.479
64,173.004,183.098,182.315,150.648,165.6,192.069,155.292,165.46,171.226,139.503,193.224,169.208,168.572,158.919,152.886,161.526,199.668,166.319,170.307,156.481,166.825,182.234,188.25,131.636,136.039,172.386,161.974,178.219,171.406
65,173.935,183.177,181.87,151.113,165.608,192.102,155.225,165.453,171.274,139.613,194.169,169.074,169.025,157.079,152.967,162.384,199.204,166.327,170.332,156.584,166.41,183.182,188.101,131.978,136.565,172.792,161.772,178.126,171.173
66,174.62,182.802,181.817,151.61,165.497,192.176,155.308,165.391,171.487,139.749,195.177,168.677,169.057,155.372,152.85,163.564,198.076,166.54,170.22,156.761,166.173,184.293,187.843,132.398,137.026,173.565,161.76,178.163,170.876
67,175.009,182.708,181.452,152.398,165.393,192.191,155.718,165.997,171.493,139.793,196.357,168.416,169.025,153.453,152.569,163.866,197.032,166.459,170.494,156.759,166.055,185.029,187.246,133.135,137.372,173.944,162.007,178.22,170.626
68,175.244,182.821,181.205,153.28,165.263,191.821,156.135,166.751,171.217,140.133,196.937,167.817,169.19,152.26,152.22,164.146,195.836,166.277,170.747,156.791,166.044,186,186.678,133.968,137.853,174.014,162.677,178.161,170.648
69,175.605,183.529,180.502,154.102,165.217,191.504,156.483,167.092,171.107,140.635,197.214,167.209,169.25,151.489,152.17,164.633,194.46,166.369,171.144,156.654,165.996,186.956,186.451,134.342,138.239,174.398,163.588,178.04,170.978
70,175.772,183.826,179.203,154.839,165.31,191.171,156.636,167.302,170.908,141.35,197.498,166.329,169.226,150.475,152.322,165.476,193.129,166.172,171.454,156.347,165.772,187.48,186.572,134.676,138.183,174.957,164.286,178.109,171.372
71,175.94,184.325,178.874,155.566,165.49,191.117,156.402,167.533,170.757,142.357,197.641,165.288,169.411,150.801,152.542,166.074,191.946,165.872,171.657,156.047,165.445,187.845,186.715,134.723,138.031,175.514,165.255,178.115,171.371
72,175.986,184.832,179.007,156.198,165.677,191.216,156.22,167.946,170.354,143.306,197.645,164.522,169.9,151.635,152.775,166.691,191.349,165.527,171.92,155.86,165.599,188.305,187.262,134.876,137.94,175.907,166.341,178.455,171.586
73,175.927,185.484,179.38,156.923,165.899,191.44,156.471,168.337,170.167,144.006,197.414,163.937,170.159,152.545,153.169,167.478,190.393,165.204,172.134,155.692,165.958,188.396,187.896,135.148,137.853,176.212,167.577,178.979,172.004
74,175.915,186.05,179.78,157.236,166.14,191.684,157.108,168.538,169.562,144.785,196.788,163.551,170.427,153.524,153.679,167.77,189.415,164.682,172.188,155.679,166.148,188.541,188.674,135.667,137.478,176.509,169.055,179.358,172.632
75,175.981,186.278,180.061,157.085,166.247,191.683,157.921,168.555,169.009,145.662,196.294,163.58,170.597,154.249,153.938,167.779,188.634,164.464,172.361,155.918,166.316,188.64,189.434,136.378,137.306,176.613,170.443,179.096,173.112
76,176.37,186.577,179.808,157.066,166.474,191.693,158.671,168.868,169.026,146.676,196.316,163.963,170.696,155.01,154.19,167.778,188.197,163.978,172.54,156.121,166.692,188.82,190.117,136.749,137.4,176.757,171.335,178.929,173.584
